"type","route","crag","sector","grade","date","comment","commentRich","quality","style","country","region"
"boulder","Brutal Rider","Sloup","stre skaly","8C+","2020-05-25","Low start into Ghost Rider 8C. Adds about 8A+ 8 moves into the whole thing with a kneebar rest a two moves before it links into Ghost Rider. In total it has 25 hard moves and could as well be 9b sport route.","Low start into Ghost Rider 8C. Adds about 8A+ 8 moves into the whole thing with a kneebar rest a two moves before it links into Ghost Rider. In total it has 25 hard moves and could as well be 9b sport route.","classic","redpoint","czech republic",""
"boulder","Ledoborec","Moravský kras","holstejn lidomorna","8C+","2020-05-24","Long and pumpy linkup. Hard to say if it makes sense as a boulder problem or it is just a training linkup, but it links hard pieces of climbing into something which is fun and super fun to climb. It links Blatant (8B) with a few extra moves directly into start of Iceberg (8C). All in all you make roughly 8 moves of 8B directly into 8C (18 moves). It could be 9b/b+ sport climb.","Long and pumpy linkup. Hard to say if it makes sense as a boulder problem or it is just a training linkup, but it links hard pieces of climbing into something which is fun and super fun to climb. It links Blatant (8B) with a few extra moves directly into start of Iceberg (8C). All in all you make roughly 8 moves of 8B directly into 8C (18 moves). It could be 9b/b+ sport climb.","classic","redpoint","czech republic",""
"boulder","Gioia","Varazze","potala druidi virml verrev","8C+","2011-12-06","a fairy-tale end of physical and mental battle, spent 11 days in total on this problem, the same as on Terranova, therefore I go for 8C+ from the same reasons. Thumbs up Christian for the vision and excitement to keep trying over and over again, I knew it is possible, Christian saw just a piece of incredible impossible-looking rock","a fairy-tale end of physical and mental battle, spent 11 days in total on this problem, the same as on Terranova, therefore I go for 8C+ from the same reasons. Thumbs up Christian for the vision and excitement to keep trying over and over again, I knew it is possible, Christian saw just a piece of incredible impossible-looking rock","mega classic","redpoint","italy",""
"boulder","Terranova","Holstejn, Mor.kras","lidomorna","8C+","2011-11-10","#FA                Well, it is not not the most inspiring line, it is a low 12moves long traverse with interesting moves though, but climbs at the bottom of a cliff for sport climbing and ends up in a jug. Definitely not the way bouldering should look like. But I have been going around and looking those tiny holds for ages and always wondering if it is climbable and this autumn I devoted myself to it. And had fun! 11 days this autumn, 1 day last year","#FA Well, it is not not the most inspiring line, it is a low 12moves long traverse with interesting moves though, but climbs at the bottom of a cliff for sport climbing and ends up in a jug. Definitely not the way bouldering should look like. But I have been going around and looking those tiny holds for ages and always wondering if it is climbable and this autumn I devoted myself to it. And had fun! 11 days this autumn, 1 day last year","very good","redpoint","czech republic",""
"boulder","Iceberg","Moravský kras","holstejn","8C","2020-04-23","","","very good","redpoint","czech republic",""
"boulder","Nunavut","Moravský kras","","8C","2019-11-14","#FA                tension moves in steep terrain","#FA tension moves in steep terrain","mega classic","redpoint","czech republic",""
"boulder","Pučmeloun","Moravský kras","sloup","8C","2019-11-14","#FA                very good one, lots of hard moves, physical and crimpy as hell. Upper end of 8c for sure.","#FA very good one, lots of hard moves, physical and crimpy as hell. Upper end of 8c for sure.","mega classic","redpoint","czech republic",""
"boulder","Ghost Rider","Moravský kras","sloup","8C","2019-09-24","2nd ascent after Martin Stranik. Amazing problem, lower start is waiting...","2nd ascent after Martin Stranik. Amazing problem, lower start is waiting...","mega classic","redpoint","czech republic",""
"boulder","Tekuté Štěstí","Moravský kras","sloup","8C","2018-06-24","2 days of work plus the stand start","2 days of work plus the stand start","mega classic","redpoint","czech republic",""
"boulder","Vrtule","Holstejn","","8C","2017-10-13","#FA                8C/C+ brutally powerful, 4 days","#FA 8C/C+ brutally powerful, 4 days","mega classic","redpoint","czech republic",""
"boulder","Drift","Holstejn","","8C","2017-10-08","#FA                hard and fun problem","#FA hard and fun problem","very good","redpoint","czech republic",""
"boulder","Kráter","Holstejn","lidomorna","8C","2017-06-24","#FA                kind of training lap, but hard nevertheless. Two 8Bs in a row for sure. Blatant + Kra","#FA kind of training lap, but hard nevertheless. Two 8Bs in a row for sure. Blatant + Kra","very good","redpoint","czech republic",""
"boulder","Asagimadara","Mizugaki","","8C","2016-03-16","an amazing day out. Unforgettable moment of sharing the motivation! Thanks Chon and Sachi. Maybe low end 8C, but I think it fits our style very well.","an amazing day out. Unforgettable moment of sharing the motivation! Thanks Chon and Sachi. Maybe low end 8C, but I think it fits our style very well.","mega classic","redpoint","japan",""
"boulder","Cháron","Petrohrad","mlynsky vrch","8C","2011-10-15","#FA                great to feel progression, spent three  days on it last winter and now went within 30 minutes. Fits my style exactly","#FA great to feel progression, spent three days on it last winter and now went within 30 minutes. Fits my style exactly","mega classic","redpoint","czech republic",""
"boulder","Practice of the Wild","Magic Wood","","8C","2011-10-01","3 days in total, 1 day in terrible conditions, another one while being tired, very hard to say concerning the grade, easier than In Search of time lost, but harder than the rest of other 8B+'s","3 days in total, 1 day in terrible conditions, another one while being tired, very hard to say concerning the grade, easier than In Search of time lost, but harder than the rest of other 8B+'s","mega classic","redpoint","switzerland","Ticino"
"boulder","Pata ledovce","Holstejn","lidomorna","8C","2011-09-06","#FA                power-endurance problem, around 15 moves. a boulderproblem at the bottom of the crag, ends up at the first bolt of the route, but climbs very well. I spent so much time working the sequences during the last year so I sent suprisingly easily this time, but the second part (8A+) I have done so many times, that I do think it made the difference and I hope the grade fits","#FA power-endurance problem, around 15 moves. a boulderproblem at the bottom of the crag, ends up at the first bolt of the route, but climbs very well. I spent so much time working the sequences during the last year so I sent suprisingly easily this time, but the second part (8A+) I have done so many times, that I do think it made the difference and I hope the grade fits","mega classic","redpoint","czech republic",""
"boulder","Monkey Wedding","Roadside","","8C","2011-08-14","definitely my hardest problem so far and deserves the grade in my opinion, 4 days","definitely my hardest problem so far and deserves the grade in my opinion, 4 days","mega classic","redpoint","south africa","Rocklands"
"boulder","From Dirt Grows The Flowers","Chironico","schattental","8C","2010-11-30","So happy to do such incredible problem! Very lucky on the ascent. The same hard as Big Paw I would say.","So happy to do such incredible problem! Very lucky on the ascent. The same hard as Big Paw I would say.","mega classic","redpoint","switzerland","Ticino"
"boulder","Big Paw","Chironico","boogalagga 59ac3","8C","2010-11-29","I can't call myself an expert in grading boulder problems since I am mostly sport climber, but it felt simply harder than any 8B+ I had done. This problem is also pretty specific and funny thing is that we all (me, Dai and Paul) used completely different betas. I would rate it 8B+/C as well as From the Dirt, but 8a doesn't allow this, so I put one of them as log-book to have the same amount of points if anyone cares about it...","I can't call myself an expert in grading boulder problems since I am mostly sport climber, but it felt simply harder than any 8B+ I had done. This problem is also pretty specific and funny thing is that we all (me, Dai and Paul) used completely different betas. I would rate it 8B+/C as well as From the Dirt, but 8a doesn't allow this, so I put one of them as log-book to have the same amount of points if anyone cares about it...","mega classic","redpoint","switzerland","Ticino"
"boulder","Knockout","Chřiby","kominky","8B+","2020-04-27","#FA                top bouldering in CZ!","#FA top bouldering in CZ!","mega classic","redpoint","czech republic",""
"boulder","Sensei","Moravský kras","","8B+","2020-04-26","#FA","#FA","mega classic","redpoint","czech republic",""
"boulder","Captain Marvel","Ostas","","8B+","2020-04-22","really cool full value problem","really cool full value problem","mega classic","redpoint","czech republic",""
"boulder","Helios","Labák","cerny bivak","8B+","2018-10-05","Nice one from Martin Stranik","Nice one from Martin Stranik","mega classic","redpoint","czech republic",""
"boulder","Sick of Sunshine","Labák","","8B+","2017-11-20","one of the best, short early morning session","one of the best, short early morning session","mega classic","redpoint","czech republic",""
"boulder","Pučmeloun","Moravský kras","sloup","8B+","2017-10-14","#FA                Sit to be done","#FA Sit to be done","mega classic","redpoint","czech republic",""
"boulder","Silák Panoramix","Moravský kras","sloup","8B+","2017-08-12","2nd ascent after Martin Stranik. Amazing problem, a for sure super hard the way Martin did, kneepads make it easier though","2nd ascent after Martin Stranik. Amazing problem, a for sure super hard the way Martin did, kneepads make it easier though","mega classic","redpoint","czech republic",""
"boulder","Síla je kouzlo","Moravský kras","sloup","8B+","2016-05-09","#FA                super powerful","#FA super powerful","mega classic","redpoint","czech republic",""
"boulder","Crowbar","Unknown Crag","","8B+","2016-04-24","Did it suprisingly fast in less than 1 hour. My beta was to skip those two nasty crimps and make this burly reach all the way to the pocket instead. Super close to doing Montecore too the same day, but my skin was against. Productive few hours on the way from Switzerland","Did it suprisingly fast in less than 1 hour. My beta was to skip those two nasty crimps and make this burly reach all the way to the pocket instead. Super close to doing Montecore too the same day, but my skin was against. Productive few hours on the way from Switzerland","mega classic","redpoint","germany","Frankenjura"
"boulder","Jade","Unknown Crag","","8B+","2015-06-07","Surreal moment of flashing this problem. I did right before heading out to the airport, with little  time to rest after the massive hike. But I was motivated by the good crew and just executed it perfectly. Despite two days of world cup before, i felt strong and with perfect skin,all you need for this boulderproblem. Super happy. Thank you Dave for the beta","Surreal moment of flashing this problem. I did right before heading out to the airport, with little time to rest after the massive hike. But I was motivated by the good crew and just executed it perfectly. Despite two days of world cup before, i felt strong and with perfect skin,all you need for this boulderproblem. Super happy. Thank you Dave for the beta","","flash","united states","RMNP (CO)"
"boulder","White Noise","Unknown Crag","","8B+","2015-06-02","Amazing boulder done in one session, Jakob came agonizingly close right after. Dave's perfect beta helped a LOT to th fast ascent, regarding to grade it felt hard 8b+, but probably not 8c.","Amazing boulder done in one session, Jakob came agonizingly close right after. Dave's perfect beta helped a LOT to th fast ascent, regarding to grade it felt hard 8b+, but probably not 8c.","mega classic","redpoint","united states","RMNP (CO)"
"boulder","Autofix","Moravský kras","sloup","8B+","2014-08-25","","","very good","redpoint","czech republic",""
"boulder","Simulant","Moravský kras","stare skaly","8B+","2013-12-08","#FA","#FA","mega classic","redpoint","czech republic",""
"boulder","Mikrolog","Moravský kras","stare skaly","8B+","2013-11-28","#FA                Amazingly small holds and extreme drop-knees.","#FA Amazingly small holds and extreme drop-knees.","very good","redpoint","czech republic",""
"boulder","Rámájama","Petrohrad","sklarna","8B+","2013-04-20","#FA                epic with the rain, but it stopped raining in the end... nice problem","#FA epic with the rain, but it stopped raining in the end... nice problem","mega classic","redpoint","czech republic",""
"boulder","Hand-jive","Gjerndalen","","8B+","2012-07-31","#FA                the holds have teeth, nothing but small crimps! Should be a bit harder than 8B I guess. amazing place to be, some more lines to come back","#FA the holds have teeth, nothing but small crimps! Should be a bit harder than 8B I guess. amazing place to be, some more lines to come back","mega classic","redpoint","norway",""
"boulder","Blood Redemption","Matre","","8B+","2012-07-01","second ascent after Magnus, 4 hard moves into resistance finish, climbed in the pouring rain during a couple of hours","second ascent after Magnus, 4 hard moves into resistance finish, climbed in the pouring rain during a couple of hours","mega classic","redpoint","norway",""
"boulder","Kheops Assis","Cuvier Rempart","","8B+","2011-12-10","2 days","2 days","mega classic","redpoint","france","Fontainebleau"
"boulder","Underground","Petrohrad","mlynsky vrch","8B+","2011-10-15","#FA                Huge powerful moves, morphological, could be easier, but felt hard to me","#FA Huge powerful moves, morphological, could be easier, but felt hard to me","mega classic","redpoint","czech republic",""
"boulder","Dark Matter","Magic Wood","","8B+","2011-10-02","8B+/C could be all right, but fits me more than In Search of Time Lost or Remembrance. For me at least, it is not harder than Remembrance.","8B+/C could be all right, but fits me more than In Search of Time Lost or Remembrance. For me at least, it is not harder than Remembrance.","mega classic","redpoint","switzerland","Ticino"
"boulder","Remembrance Of Things Past","Magic Wood","","8B+","2011-10-02","Had thought initially it starts in the jug, but start in the crimp to the left, thus you skip 3 moves. Anyway, felt hard and completely my anti-style","Had thought initially it starts in the jug, but start in the crimp to the left, thus you skip 3 moves. Anyway, felt hard and completely my anti-style","mega classic","redpoint","switzerland","Ticino"
"boulder","Metelkův mechanický betlém","Labské Údolí","el pako di kono","8B+","2011-09-17","two days","two days","mega classic","redpoint","czech republic",""
"boulder","Golden Shadow","Roadcrew","","8B+","2011-08-24","2 hours, strange line to look at and the block behind your back is close, but climbs well","2 hours, strange line to look at and the block behind your back is close, but climbs well","very good","redpoint","south africa","Rocklands"
"boulder","Amandla","Roadcrew","","8B+","2011-08-11","at 9 AM just before the sun came in, question of skin, but great and inspiring line nonetheless","at 9 AM just before the sun came in, question of skin, but great and inspiring line nonetheless","mega classic","redpoint","south africa","Rocklands"
"boulder","Prsty v ohni","Petrohrad","mlynsky vrch","8B+","2011-01-22","yes, back in the shape after brake?","yes, back in the shape after brake?","very good","redpoint","czech republic",""
"boulder","Riverside","Magic Wood","","8B+","2010-06-06","#FA                long-standing crimpy project on the Riverbed boulder. Only from stand start, link from Riverbed should be 8C for sure. Without left arete, so it is a kind of elimination, but I think it is logical. Both of the hardest things in MW desperately wet","#FA long-standing crimpy project on the Riverbed boulder. Only from stand start, link from Riverbed should be 8C for sure. Without left arete, so it is a kind of elimination, but I think it is logical. Both of the hardest things in MW desperately wet","mega classic","redpoint","switzerland","Ticino"
"boulder","Unendliche geschichte","Magic Wood","bruno block","8B+","2010-06-04","two tries of UE 2 two years ago, now UE 2 first go, and then slipped two times on the start and the fired it off","two tries of UE 2 two years ago, now UE 2 first go, and then slipped two times on the start and the fired it off","mega classic","redpoint","switzerland","Ticino"
"boulder","From Shallow Waters to the Riverbed","Magic Wood","avers","8B+","2010-06-04","Should have flashed it! Fell from the last hold in the roof, next try fell on the start and then sent it","Should have flashed it! Fell from the last hold in the roof, next try fell on the start and then sent it","mega classic","redpoint","switzerland","Ticino"
"boulder","Stix SD","Petrohrad","mlynsky vrch","8B+","2010-04-24","#FA                really good line, big fight","#FA really good line, big fight","mega classic","redpoint","czech republic",""
"boulder","Dreamtime reclimbed","Cresciano","dream time","8B+","2009-12-21","1 shot from the stand, 5 minutes later from sit, totally new sequence with small crimp on the left, if you prefer crimps like me, it is the same hard as it used to be, But the hold that has remained will surely break off too, but it might be possible even without that one","1 shot from the stand, 5 minutes later from sit, totally new sequence with small crimp on the left, if you prefer crimps like me, it is the same hard as it used to be, But the hold that has remained will surely break off too, but it might be possible even without that one","mega classic","redpoint","switzerland","Ticino"
"boulder","The Dagger","Cresciano","dream time","8B+","2009-12-18","2 days, did all moves in sit but too complicated sequence for linking it","2 days, did all moves in sit but too complicated sequence for linking it","mega classic","redpoint","switzerland","Ticino"
"boulder","Barevný svět","Petrohrad","vetrna hurka","8B+","2009-12-12","nightsession, pure power, 2 days, 2nd ascent","nightsession, pure power, 2 days, 2nd ascent","very good","redpoint","czech republic",""
"boulder","Sedni si na kost","Holstejn","lidomorna","8B+","2009-09-16","#FA                2 years of walking around and trying to figure out the sequnece + 3 days this year","#FA 2 years of walking around and trying to figure out the sequnece + 3 days this year","very good","redpoint","czech republic",""
"boulder","Derailed","8A Rand","","8B+","2009-08-01","about 1 hour, climbed on the sun, helps to be tall - maybe only 8B for me","about 1 hour, climbed on the sun, helps to be tall - maybe only 8B for me","mega classic","redpoint","south africa","Rocklands"
"boulder","Dreamtime","Cresciano","","8B+","2008-03-23","Yeaahh! in 4 hours!","Yeaahh! in 4 hours!","mega classic","redpoint","switzerland","Ticino"
"boulder","Zwerg Bums di","Zemmschlucht","","8B","2020-07-14","Felt pretty easy, hard to say about the grade. Later, I was REALLY close to flashing Nihilist sit 8B+","Felt pretty easy, hard to say about the grade. Later, I was REALLY close to flashing Nihilist sit 8B+","","flash","austria","Zillertal"
"boulder","SARS","Moravský kras","sloup","8B","2020-05-25","2nd ascent after Martin Stranik, was an old idea of mine and it was supposed to be more 8C-ish, but Martin found a new hold and actually made the problem much more cool","2nd ascent after Martin Stranik, was an old idea of mine and it was supposed to be more 8C-ish, but Martin found a new hold and actually made the problem much more cool","classic","redpoint","czech republic",""
"boulder","Ohnivák","Hodonín","","8B","2020-05-14","#FA                , amazing doubledyno to the lip","#FA , amazing doubledyno to the lip","mega classic","redpoint","czech republic",""
"boulder","Uvolněná Mysl","Moravský kras","","8B","2020-04-26","","","very good","redpoint","czech republic",""
"boulder","Nesmrtelný Bond","Ostas","","8B","2020-04-22","8B/B+","8B/B+","very good","redpoint","czech republic",""
"boulder","Louis Je Master","Ostas","","8B","2020-04-22","","","very good","redpoint","czech republic",""
"boulder","Intensitos","Moravský kras","","8B","2019-11-14","#FA                hard move with a thumb","#FA hard move with a thumb","very good","redpoint","czech republic",""
"boulder","Vasilica","Prilep","","8B","2019-01-13","2nd ascent right after Martin","2nd ascent right after Martin","very good","redpoint","macedonia",""
"boulder","Spinal Twist","Unknown Crag","","8B","2018-11-14","Chris Sharma testpiece","Chris Sharma testpiece","very good","redpoint","united states","Little Cottonwood Canyon (UT)"
"boulder","The hour of power","Unknown Crag","","8B","2018-11-14","Freaking cool!","Freaking cool!","mega classic","redpoint","united states","Little Cottonwood Canyon (UT)"
"boulder","dominated","Unknown Crag","","8B","2018-10-31","close to flash :-(","close to flash :-(","mega classic","redpoint","united states","Yosemite (CA)"
"boulder","Phew York","maloměřice","lom","8B","2018-04-21","#FA                awful location, but amazing climb right in the city of Brno","#FA awful location, but amazing climb right in the city of Brno","very good","redpoint","czech republic",""
"boulder","Když je v pekle neděle","Holstejn","","8B","2017-06-11","#FA","#FA","very good","redpoint","czech republic",""
"boulder","Blatant","Holstejn","","8B","2017-06-03","#FA","#FA","average","redpoint","czech republic",""
"boulder","Mnohosmerka","Kozel","","8B","2017-03-26","#FA","#FA","very good","redpoint","czech republic",""
"boulder","Dogmatix","Moravský kras","sloup","8B","2016-05-09","#FA","#FA","mega classic","redpoint","czech republic",""
"boulder","Jaxitax","Moravský kras","","8B","2016-05-02","#FA","#FA","very good","redpoint","czech republic",""
"boulder","Zerberus","Unknown Crag","","8B","2016-04-24","Have tried this problem a few days in the past, but never even did the moves. Now it was all done in 15mins. Not the toehook nor heelhook, but drop knee is the beta for me!","Have tried this problem a few days in the past, but never even did the moves. Now it was all done in 15mins. Not the toehook nor heelhook, but drop knee is the beta for me!","mega classic","redpoint","germany","Frankenjura"
"boulder","Kra","Moravský kras","","8B","2016-04-20","#FA","#FA","mega classic","redpoint","czech republic",""
"boulder","Asgard","Moravský kras","","8B","2016-04-17","","","very good","redpoint","czech republic",""
