,Years,MAX,RoutesNbr,OS,Flash,RP,Region,<6a,6a-6c+,7a-7c+,=>8a,Grade,ID
0,7,8.1,516,0.304,0.274,0.423,0,57,161,285,13,6.687,0
1,6,8.0,373,0.417,0.123,0.46,0,85,155,132,1,6.485,1
2,6,8.05,301,0.234,0.126,0.64,1,0,6,286,9,7.118,2
3,10,8.0,224,0.184,0.285,0.502,1,19,72,131,2,6.626,3
4,5,9.0,160,0.227,0.239,0.534,2,2,6,97,55,7.392,4
5,6,8.25,577,0.175,0.073,0.751,3,4,33,300,240,7.56,5
6,3,8.05,70,0.284,0.126,0.589,4,0,0,62,8,7.173,6
7,7,8.0,258,0.249,0.101,0.65,1,15,109,132,2,6.707,7
8,7,8.05,437,0.35,0.091,0.554,3,44,93,292,8,6.75,8
9,6,8.0,118,0.308,0.014,0.674,1,0,16,97,5,7.032,9
10,6,8.0,202,0.236,0.153,0.604,5,17,24,160,1,6.68,10
11,3,8.0,128,0.429,0.194,0.377,0,26,59,42,1,6.337,11
12,3,8.05,25,0.0,0.0,1.0,6,0,0,16,9,7.373,12
13,8,8.25,99,0.107,0.244,0.649,7,0,0,25,74,7.944,13
14,10,8.2,149,0.179,0.149,0.668,8,0,0,80,69,7.609,14
15,4,8.0,18,0.075,0.275,0.65,9,0,0,14,4,7.407,15
16,4,8.2,233,0.402,0.015,0.583,6,0,2,168,63,7.223,16
17,2,8.15,65,0.221,0.139,0.641,10,0,0,46,19,7.43,17
18,6,8.0,120,0.205,0.046,0.749,11,0,43,75,2,6.658,18
19,7,8.15,193,0.179,0.417,0.404,12,0,8,139,46,7.169,19
20,7,8.15,196,0.552,0.077,0.371,10,0,13,134,49,7.484,20
21,6,8.05,98,0.225,0.078,0.697,13,0,10,78,10,7.107,21
22,6,8.15,193,0.428,0.266,0.306,0,0,13,149,31,7.165,22
23,19,8.15,1091,0.342,0.107,0.544,0,1,7,799,284,7.385,23
24,7,8.15,274,0.3,0.068,0.625,0,0,13,205,56,7.207,24
25,11,8.2,585,0.223,0.051,0.726,14,0,0,460,125,7.247,25
26,5,7.2,41,0.138,0.0,0.862,15,4,14,23,0,6.624,26
27,8,7.2,83,0.159,0.444,0.388,16,14,37,32,0,6.449,27
28,11,8.1,169,0.6,0.049,0.342,2,11,65,77,16,6.965,28
29,21,8.2,794,0.248,0.088,0.66,17,0,0,375,419,7.709,29
30,7,8.15,328,0.373,0.131,0.492,3,0,49,262,17,7.023,30
31,2,8.2,14,0.038,0.038,0.923,9,0,0,6,8,7.935,31
32,6,8.1,273,0.307,0.071,0.622,1,0,12,226,35,7.16,32
33,12,8.1,1242,0.537,0.08,0.382,1,0,0,1157,85,7.127,33
34,6,8.15,69,0.409,0.093,0.498,9,0,5,46,18,7.223,34
35,4,8.1,128,0.412,0.252,0.336,0,0,13,97,18,7.155,35
36,7,8.1,246,0.279,0.029,0.692,3,2,47,175,22,7.044,36
37,15,8.15,347,0.172,0.092,0.735,8,0,5,210,132,7.624,37
38,3,8.15,64,0.055,0.078,0.868,15,0,0,24,40,7.677,38
39,8,8.05,173,0.428,0.056,0.516,2,12,56,96,9,6.55,39
40,2,7.15,55,0.399,0.2,0.381,3,2,26,27,0,6.575,40
41,2,7.1,8,0.167,0.0,0.834,18,0,3,5,0,6.71,41
42,1,7.05,19,0.263,0.211,0.316,19,0,1,18,0,6.97,42
43,1,6.05,5,0.2,0.0,0.8,20,5,0,0,0,5.32,43
44,1,6.05,4,0.75,0.0,0.0,0,4,0,0,0,5.31,44
45,15,8.15,528,0.423,0.089,0.487,0,23,207,267,31,6.856,45
46,1,7.25,4,0.0,0.0,1.0,6,0,0,4,0,7.16,46
47,4,7.0,53,0.479,0.369,0.074,1,33,19,1,0,6.048,47
48,1,5.25,3,0.333,0.0,0.333,21,3,0,0,0,5.22,48
49,1,6.05,4,0.0,0.0,0.75,1,4,0,0,0,5.56,49
50,1,6.05,3,0.0,0.0,0.667,20,3,0,0,0,5.73,50
51,7,7.05,48,0.387,0.112,0.496,1,32,14,2,0,5.986,51
52,5,8.1,17,0.067,0.1,0.744,22,0,4,11,2,7.278,52
53,1,8.1,1,0.0,0.0,1.0,10,0,0,0,1,8.1,53
54,6,7.05,159,0.589,0.249,0.163,0,94,61,4,0,6.09,54
55,1,6.25,2,0.0,0.0,1.0,23,0,2,0,0,6.2,55
56,12,8.0,117,0.212,0.135,0.652,24,3,31,78,5,6.853,56
57,1,7.15,1,0.0,0.0,1.0,25,0,0,1,0,7.15,57
58,6,8.0,33,0.109,0.12,0.731,26,4,10,18,1,6.705,58
59,3,8.0,65,0.05,0.112,0.837,7,0,0,58,7,7.16,59
60,2,6.2,5,0.0,0.5,0.5,27,1,4,0,0,5.925,60
61,1,6.2,2,0.0,0.5,0.0,4,0,2,0,0,6.18,61
62,5,7.1,31,0.027,0.124,0.849,28,17,11,3,0,6.174,62
63,1,7.1,10,0.1,0.4,0.5,29,2,6,2,0,6.36,63
64,2,6.15,26,0.14,0.08,0.78,30,17,9,0,0,5.625,64
65,1,7.0,1,0.0,0.0,1.0,31,0,0,1,0,7.0,65
66,7,7.15,45,0.173,0.088,0.74,32,0,12,33,0,6.747,66
67,3,8.05,36,0.211,0.011,0.778,3,0,1,30,5,7.137,67
68,3,7.05,13,0.03,0.485,0.485,33,7,5,1,0,6.35,68
69,1,6.25,1,0.0,1.0,0.0,34,0,1,0,0,6.25,69
70,9,8.0,100,0.0,0.0,1.0,35,0,0,99,1,7.096,70
71,4,7.1,117,0.186,0.247,0.566,36,40,68,9,0,6.37,71
72,2,7.05,18,0.088,0.176,0.736,15,1,13,4,0,6.645,72
73,2,7.0,18,0.125,0.031,0.781,37,6,10,2,0,6.125,73
74,3,7.2,3,0.0,0.0,1.0,38,0,0,3,0,7.167,74
75,1,6.0,2,0.0,0.5,0.0,39,2,0,0,0,5.5,75
76,13,8.05,793,0.393,0.023,0.584,18,0,1,741,51,7.195,76
77,1,6.15,1,0.0,0.0,1.0,14,0,1,0,0,6.15,77
78,12,8.1,104,0.13,0.035,0.835,40,0,11,75,18,7.436,78
79,1,6.15,1,0.0,0.0,1.0,0,0,1,0,0,6.15,79
80,4,8.05,224,0.079,0.209,0.712,41,0,0,212,12,7.117,80
81,2,6.1,2,0.0,1.0,0.0,25,0,2,0,0,6.1,81
82,1,6.0,1,0.0,0.0,1.0,1,1,0,0,0,6.0,82
83,2,6.1,13,0.091,0.478,0.432,13,9,4,0,0,5.95,83
84,1,6.0,2,0.0,0.5,0.0,14,2,0,0,0,6.0,84
85,8,8.0,110,0.354,0.155,0.491,42,3,2,99,6,6.911,85
86,11,8.1,303,0.431,0.248,0.321,0,24,107,159,13,6.691,86
87,1,5.1,2,0.0,0.0,1.0,31,2,0,0,0,5.05,87
