,Unnamed: 0,Unnamed: 1,POINTS,Unnamed: 3,CLIMBER,DATE OF BIRTH,Unnamed: 6,COUNTRY,CITY,CLIMBER_NICK
0,1.0,,12 189,,Solveig Korherr,1998.0,,DEU,,solveig-korherr
1,2.0,,12 127,,Martina Demmel,2001.0,,DEU,BÃ¶bing,martina-demmel
2,3.0,,11 883,,Nolwen Berthier,1993.0,,FRA,Aix en Provence,nolwen-berthier
3,4.0,,11 839,,Alex Totkova,2005.0,,BGR,Plovdiv,alex-totkova
4,5.0,,11 835,,Eva HammelmÃ¼ller,2000.0,,AUT,Innsbruck,eva-hammelmã¼ller
5,6.0,,11 833,,Oriane Bertone,2005.0,,FRA,Les Avirons,oriane-bertone
6,7.0,,11 800,,Molly Thompson-Smith,1997.0,,GBR,London,molly-thompson-smith
7,8.0,,11 783,,Amandine Loury,1990.0,,FRA,,amandine-loury
8,9.0,,11 741,,Iziar Martinez,2005.0,,ESP,Valladolid,iziar-martinez
9,10.0,,11 519,,Ida KupÅ,1999.0,,POL,KrakÃ³w,ida-kupå
10,11.0,,11 443,,Claudia Ghisolfi,1996.0,,ITA,Torino,claudia-ghisolfi
11,12.0,,11 339,,Lucija TarkuÅ¡,2003.0,,SVN,Devina,lucija-tarkuå¡
12,13.0,,11 250,,Julia Fiser,1997.0,,AUT,Innsbruck,julia-fiser
13,14.0,,11 244,,TjaÅ¡a SlemenÅ¡ek,1999.0,,SVN,Velenje,tjaå¡a-slemenå¡ek
14,15.0,,11 244,,Jasna HodÅ¾iÄ,1991.0,,USA,Seattle,jasna-hodå¾iä
15,16.0,,11 242,,Birte Gutmayer,1989.0,,DEU,Heilbronn,birte-gutmayer
16,17.0,,11 239,,Marketa Janosova,2004.0,,CZE,Terlicko,marketa-janosova
17,18.0,,11 211,,Jessica Pilz,1996.0,,AUT,Haag,jessica-pilz
18,19.0,,11 046,,Marta Palou Carol,1997.0,,ESP,Barcelona,marta-palou-carol
19,20.0,,11 030,,Amity Warme,,,USA,Loveland,amity-warme
20,21.0,,11 003,,Helena Aleman (f),,,ESP,Sant Boi,helena-aleman-(f)
21,22.0,,10 990,,Charlotte Frank,1992.0,,DEU,Hauenstein,charlotte-frank
22,23.0,,10 967,,Daria Brylova,1997.0,,POL,KrakÃ³w,daria-brylova
23,24.0,,10 954,,Mona Kellner,1997.0,,DEU,NÃ¼rnberg,mona-kellner
24,25.0,,10 950,,Reme Arenas,,,ESP,elda,reme-arenas
25,26.0,,10 937,,Katie Lambert (f),1979.0,,USA,Yosemite,katie-lambert-(f)
26,27.0,,10 921,,CÃ©line Le dily,1982.0,,FRA,Divonne,cã©line-le-dily
27,28.0,,10 895,,Martina H,1987.0,,AUT,Innsbruck,martina-h
28,29.0,,10 881,,Caroline Minvielle,1990.0,,FRA,Pau,caroline-minvielle
29,30.0,,10 866,,BelÃ©n VillalÃ³n,1988.0,,CHL,Santiago,belã©n-villalã³n
30,31.0,,10 847,,MaÃ«l Musson,2006.0,,FRA,,maã«l-musson
31,32.0,,10 844,,Dirk Uhlig,1900.0,,DEU,El Bosque,dirk-uhlig
32,33.0,,10 804,,Roxane Durand,1984.0,,FRA,Nice,roxane-durand
33,34.0,,10 802,,Andrea KÃ¼min,,,CHE,zurich,andrea-kã¼min
34,35.0,,10 801,,Lynn Van der Meer,1999.0,,NLD,Roosendaal,lynn-van-der-meer
35,36.0,,10 772,,Em Pellerin,1990.0,,CAN,Repentigny,em-pellerin
36,37.0,,10 751,,Katrin Mair,,,ITA,Gais,katrin-mair
37,38.0,,10 745,,Celine Fergeau (f),1988.0,,FRA,Poitiers,celine-fergeau-(f)
38,39.0,,10 745,,Camilla Bendazzoli,1997.0,,ITA,Breganze,camilla-bendazzoli
39,40.0,,10 699,,Audrey Miller,1999.0,,USA,,audrey-miller
40,41.0,,10 690,,Elisabeth Lardschneider,,,ITA,st ulrich,elisabeth-lardschneider
41,42.0,,10 687,,Olivia Ma,2005.0,,USA,West New York,olivia-ma
42,43.0,,10 669,,Karolina OÅka,1992.0,,POL,KrakÃ³w,karolina-oåka
43,44.0,,10 641,,StaÅ¡a Gejo,1997.0,,SRB,Nis,staå¡a-gejo
44,45.0,,10 639,,Brittany Goris,,,USA,Seattle,brittany-goris
45,46.0,,10 629,,Taylor Vanessa (f),1977.0,,FRA,Villandry,taylor-vanessa-(f)
46,47.0,,10 604,,Tina Johnsen Hafsaas,1994.0,,NOR,Oslo,tina-johnsen-hafsaas
47,48.0,,10 602,,Sophie Dellinger,,,DEU,,sophie-dellinger
48,49.0,,10 590,,Heather Weidner (f),1980.0,,USA,Boulder,heather-weidner-(f)
49,50.0,,10 587,,Francoise Jacques,,,FRA,Metz,francoise-jacques
