"type","route","crag","sector","grade","date","comment","commentRich","quality","style","country","region"
"boulder","La beauté de la chose (D.A)","Targassonne","la baleine 12934","8A+","2012-01-20","Muy guapo","Muy guapo","","redpoint","france",""
"boulder","Batman","Techos","","8A+","2009-02-25","Vaya subidon!!!","Vaya subidon!!!","","redpoint","spain","Albarracín"
"boulder","el rondel","Unknown Crag","","8A+","2004-08-15","#2go               travesia muy buena","#2go travesia muy buena","","redpoint","germany","Frankenjura"
"boulder","Magic instinct (D.A)","Targassonne","la baleine 12934","8A","2012-01-21","","","","redpoint","france",""
"boulder","Uniformicide","Targassonne","dolmens","8A","2012-01-20","3 pegues, buenísimo","3 pegues, buenísimo","","redpoint","france",""
"boulder","El orejas de las regletas","Arrastradero","","8A","2009-03-26","Precioso","Precioso","","redpoint","spain","Albarracín"
"boulder","Varano","Arrastradero","","8A","2009-03-24","puta salida joder!!!","puta salida joder!!!","","redpoint","spain","Albarracín"
"boulder","Respect","SOL","","8A","2009-02-22","","","","redpoint","spain","Albarracín"
"boulder","el mito de la caverna","La peninsula","","8A","2006-03-20","3 a la izq de ""El rey león""","3 a la izq de ""El rey león""","","redpoint","spain","Albarracín"
"boulder","el boulder de jon","Rodellar","el boulder de jon","8A","2006-02-10","grado de travesia","grado de travesia","","flash","spain",""
"boulder","zarzamora","Parking","","8A","2006-02-09","","","","redpoint","spain","Albarracín"
"boulder","Supernova","Magic Wood","bach","8A","2005-08-05","trave de romos","trave de romos","","redpoint","switzerland","Ticino"
"boulder","La beauté de la chose","Targassonne","la baleine 12934","7C+","2012-01-20","","","","flash","france",""
"boulder","Le tombeau de damme panc ashash","Targassonne","taz cedaf","7C+","2012-01-17","3 pegues,7b+...","3 pegues,7b+...","","redpoint","france",""
"boulder","apeadero ¿stand up)","Arrastradero","","7C+","2008-03-08","si no me lo cuentan ignasi y oscar pa rato...","si no me lo cuentan ignasi y oscar pa rato...","","redpoint","spain","Albarracín"
"boulder","Control de Calidad","La peninsula","","7C+","2007-10-23","techito con salida tecnica","techito con salida tecnica","","redpoint","spain","Albarracín"
"boulder","blocainomano","coleccionista de huesos","","7C+","2007-01-04","menudo porron","menudo porron","","redpoint","spain","Albarracín"
"boulder","sin porros","Los techos","","7C+","2006-04-20","#2go               a la dech de ""La campana""","#2go a la dech de ""La campana""","","redpoint","spain","Albarracín"
"boulder","Astronave","Los techos","","7C+","2006-04-15","travesía en el bloque, creo que se llama asi","travesía en el bloque, creo que se llama asi","","redpoint","spain","Albarracín"
"boulder","Motivos personales","Peninsula","","7C+","2006-03-20","fucking, fucking...,2 a la izq de ""El rey león""","fucking, fucking...,2 a la izq de ""El rey león""","","redpoint","spain","Albarracín"
"boulder","le dance","Magic Wood","","7C+","2005-08-05","vaya montad,7c?","vaya montad,7c?","","redpoint","switzerland","Ticino"
"boulder","Un mundo feliz","Zarzalejo","mundo feliz","7C","2015-11-24","","","","redpoint","spain","Madrid"
"boulder","El dios de la Zambomba","Alcañiz","val de taul","7C","2013-01-23","Sit star, ahora a salir por la línea lógica!!","Sit star, ahora a salir por la línea lógica!!","","redpoint","spain",""
"boulder","La Fuente","La fuente","","7C","2012-11-02","","","","redpoint","spain","Albarracín"
"boulder","La chose au fond du trou","Targassonne","baleine a3f4d","7C","2012-01-21","","","","redpoint","france",""
"boulder","I shot Sarconazy","Targassonne","dolmens","7C","2012-01-20","3 pegues, en la guía pone 8a, hay que tener valor...","3 pegues, en la guía pone 8a, hay que tener valor...","","redpoint","france",""
"boulder","nazgul","Targassonne","taz cedaf","7C","2012-01-20","","","","redpoint","france",""
"boulder","katalan psycho","Targassonne","dolmens","7C","2012-01-20","","","","redpoint","france",""
"boulder","Back Bloc","Targassonne","taz cedaf","7C","2012-01-17","Al primer pegue,¿7c? podría ser 7a+","Al primer pegue,¿7c? podría ser 7a+","","redpoint","france",""
"boulder","magic instinct","Targassonne","baleine a3f4d","7C","2012-01-16","","","","flash","france",""
"boulder","Alevosia","SOL","","7C","2009-02-24","de noche y en el descuento","de noche y en el descuento","","redpoint","spain","Albarracín"
"boulder","Tetris","Arrastradero","","7C","2007-12-31","#2go","#2go","","redpoint","spain","Albarracín"
"boulder","Dizdira","Los techos","","7C","2006-10-28","","","mega classic","redpoint","spain","Albarracín"
"boulder","La campana","Techos","","7C","2006-04-20","","","","flash","spain","Albarracín"
"boulder","El maestro de esgrima","El Sol","","7C","2006-04-12","muy bueno","muy bueno","","redpoint","spain","Albarracín"
"boulder","mardie grass","Arrastradero","","7C","2006-03-23","muy fino.","muy fino.","","redpoint","spain","Albarracín"
"boulder","compresion","El Sol","","7C","2006-03-20","#FA","#FA","","redpoint","spain","Albarracín"
"boulder","un bocadito","Arrastradero","","7C","2006-03-20","mantel abierto por miguel.","mantel abierto por miguel.","","redpoint","spain","Albarracín"
"boulder","El movement Arroita","Arrastradero","","7C","2006-03-18","muy alto,a la izq de ""El pais de las bicicletas""","muy alto,a la izq de ""El pais de las bicicletas""","","redpoint","spain","Albarracín"
"boulder","Karmansia","SOL","","7C","2006-03-02","","","","redpoint","spain","Albarracín"
"boulder","El bloque de pedro ""bidedo""","la masia","","7C","2005-12-15","","","","redpoint","spain","Albarracín"
"boulder","dynos don't dino","Magic Wood","","7C","2004-07-24","un lance","un lance","","redpoint","switzerland","Ticino"
"boulder","El Fonteneblístico","La fuente","","7B+","2012-11-02","","","","redpoint","spain","Albarracín"
"boulder","el hadjiz","Targassonne","taz cedaf","7B+","2012-01-17","","","","redpoint","france",""
"boulder","le sous peuple","Targassonne","taz cedaf","7B+","2012-01-17","","","","redpoint","france",""
"boulder","Bambule","El Escorial","","7B+","2011-04-16","mucho calor, con el Trangowrld team!!!!","mucho calor, con el Trangowrld team!!!!","","flash","spain","Madrid"
"boulder","N.N.","Techos","","7B+","2009-02-25","Techito en frente del Rompe Hombros","Techito en frente del Rompe Hombros","","redpoint","spain","Albarracín"
"boulder","Rude Man","Techos","","7B+","2009-02-21","Muy bueno,¿aguantara la regle?","Muy bueno,¿aguantara la regle?","","flash","spain","Albarracín"
"boulder","Libertárias","Alkañiz","paridera","7B+","2009-02-07","en el laboratori del Maki","en el laboratori del Maki","","redpoint","unknown",""
"boulder","Dias de resaca ""extension""","Alkañiz","santa barbara","7B+","2009-01-15","La trave del Maki, futuros ascensionistas confirmaran el grado","La trave del Maki, futuros ascensionistas confirmaran el grado","","onsight","unknown",""
"boulder","Los lunes al sol","Alkañiz","","7B+","2008-12-11","del Maki","del Maki","","redpoint","unknown",""
"boulder","Carnage","Bas Cuvier","","7B+","2008-02-27","","","","redpoint","france","Fontainebleau"
