,Unnamed: 0,Unnamed: 1,POINTS,Unnamed: 3,CLIMBER,DATE OF BIRTH,Unnamed: 6,COUNTRY,CITY,CLIMBER_NICK
0,1.0,,13 626,,Jorge diaz-rullo,1999.0,,ESP,madrid,jorge-diaz-rullo
1,2.0,,13 308,,Adam Ondra,1993.0,,CZE,Brno,adam-ondra
2,3.0,,13 294,,Jonathan Siegrist,1985.0,,USA,Las Vegas,jonathan-siegrist
3,4.0,,13 263,,Stefano Ghisolfi,1993.0,,ITA,Arco,stefano-ghisolfi
4,5.0,,13 058,,Daniel Fuertes,1980.0,,ESP,Zaragoza,daniel-fuertes
5,6.0,,12 896,,Moritz Welt,2001.0,,DEU,Wannbach,moritz-welt
6,7.0,,12 882,,Mathieu Bouyoud,1989.0,,FRA,ChambÃ©ry,mathieu-bouyoud
7,8.0,,12 788,,Sascha Lehmann,,,CHE,Burgdorf,sascha-lehmann
8,9.0,,12 708,,Marcello Bombardi,1993.0,,ITA,Pont-Saint-Martin (AO),marcello-bombardi
9,10.0,,12 697,,Jernej Kruder,1990.0,,SVN,Celje,jernej-kruder
10,11.0,,12 686,,Piotr Schab,1996.0,,POL,KrakÃ³w,piotr-schab
11,12.0,,12 649,,Alexander Rohr,1995.0,,CHE,Rubigen,alexander-rohr
12,13.0,,12 632,,Alberto Gines LÃ³pez,2002.0,,ESP,CÃ¡ceres,alberto-gines-lã³pez
13,14.0,,12 547,,hugo parmentier,1998.0,,FRA,Paris,hugo-parmentier
14,15.0,,12 450,,Tanguy MERARD,2003.0,,FRA,Generac,tanguy-merard
15,16.0,,12 449,,Cameron HÃ¶rst,2000.0,,USA,Lancaster,cameron-hã¶rst
16,17.0,,12 421,,Luca Bana,1998.0,,ITA,Premolo,luca-bana
17,18.0,,12 410,,Jan hojer,1992.0,,DEU,KÃ¶ln,jan-hojer
18,19.0,,12 407,,Davide Picco,1992.0,,ITA,Schio,davide-picco
19,20.0,,12 396,,Gio Placci,2001.0,,ITA,Faenza,gio-placci
20,21.0,,12 380,,Lorenzo Bogliacino,1997.0,,ITA,Carcare,lorenzo-bogliacino
21,22.0,,12 359,,Illya Bakhmet-Smolenskyi,2005.0,,UKR,Kharkov,illya-bakhmet-smolenskyi
22,23.0,,12 297,,Martin Tekles,1991.0,,DEU,Grassau,martin-tekles
23,24.0,,12 247,,Stefan Scherz,2001.0,,AUT,Innsbruck,stefan-scherz
24,25.0,,12 238,,Stefan Scarperi,1991.0,,ITA,Appiano (BZ),stefan-scarperi
25,26.0,,12 208,,Paul Jenft,2003.0,,FRA,ChambÃ©ry,paul-jenft
26,27.0,,12 191,,David Firnenburg,1995.0,,DEU,Zurich (CH),david-firnenburg
27,28.0,,12 167,,Lair Thibault,1992.0,,FRA,tarbes,lair-thibault
28,29.0,,12 162,,Marco Zanone,1994.0,,ITA,Ronco Biellese,marco-zanone
29,30.0,,12 152,,Philipp GaÃner,2000.0,,DEU,Munich,philipp-gaãner
30,31.0,,12 120,,Gambaro Matteo,1974.0,,ITA,,gambaro-matteo
31,32.0,,12 100,,Manu Lopez,1988.0,,FRA,Oloron,manu-lopez
32,33.0,,12 096,,Maho Normand,2005.0,,FRA,TOULON,maho-normand
33,34.0,,12 092,,Henning Wang,1984.0,,NOR,Sogndal,henning-wang
34,35.0,,12 083,,Antoine Maire,1996.0,,FRA,Mazan,antoine-maire
35,36.0,,12 056,,BJ Tilden,1980.0,,USA,Lander,bj-tilden
36,37.0,,12 050,,Leo BÃ¸e,1999.0,,NOR,Bergen,leo-bã¸e
37,38.0,,12 047,,Niki Rusev,2006.0,,BGR,Plovdiv,niki-rusev
38,39.0,,12 041,,Mejdi Schalck,2004.0,,FRA,Chambery,mejdi-schalck
39,40.0,,12 032,,Evan Hau,1986.0,,CAN,Calgary,evan-hau
40,41.0,,11 986,,Thomas Dauser,1987.0,,DEU,Bamberg,thomas-dauser
41,42.0,,11 952,,Yannick FlohÃ©,,,DEU,Essen,yannick-flohã©
42,43.0,,11 950,,Christof Rauch,1994.0,,AUT,Finkenberg,christof-rauch
43,44.0,,11 900,,Owen Whaley,2004.0,,USA,Blue Diamond,owen-whaley
44,45.0,,11 850,,Matteo Menardi,1998.0,,ITA,Cortina d' Ampezzo,matteo-menardi
45,46.0,,11 843,,Martin Bergant,1996.0,,SVN,Âkofja Loka,martin-bergant
46,47.0,,11 819,,Benjamin Lindfors,,,USA,Highlands Ranch,benjamin-lindfors
47,48.0,,11 819,,Rafa Fanega,1975.0,,ESP,Madrid,rafa-fanega
48,49.0,,11 804,,Dylan Chuat,2000.0,,CHE,valais,dylan-chuat
49,50.0,,11 800,,Christoph Kappacher,1992.0,,AUT,Innsbruck,christoph-kappacher
